Site ID,Latitude (before),Longitude (before),Latitude (after),Longitude (after)
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
60010007,117,21,117,21
