Site ID,Latitude (before),Longitude (before),Latitude (after),Longitude (after),COUNTY
60010007,37.687526,-121.784217,117,21,Alameda
60010009,37.743065,-122.169935,119,15,Alameda
60010011,37.814781,-122.282347,121,9,Alameda
60010013,37.8647670009145,-122.302741,122,8,Alameda
60070008,39.76168,-121.84047,155,20,Butte
60090001,38.20185,-120.680277,129,48,Calaveras
60111002,39.18919,-121.99887,151,17,Colusa
60130002,37.936013,-122.026154,123,16,Contra Costa
60131004,37.9604,-122.356811,125,7,Contra Costa
60190011,36.78538,-119.77321,98,61,Fresno
60190500,36.9851185574381,-119.658339349936,105,66,Fresno
60190500,36.98511856,-119.6583393,106,67,Fresno
60192009,36.6342250009037,-120.382331,95,56,Fresno
60192009,36.634225,-120.382331,94,56,Fresno
60195001,36.819449,-119.716433,99,62,Fresno
60210003,39.53387,-122.190834,154,14,Glenn
60231004,40.7767800009332,-124.17949,161,0,Humboldt
60231004,40.77678,-124.17949,160,0,Humboldt
60250005,32.67618,-115.48307,4,126,Imperial
60251003,32.79222,-115.56306,9,125,Imperial
60270002,37.360684,-118.330783,110,84,Inyo
60271023,37.3621369693511,-118.417477920338,111,81,Inyo
60271023,37.36213697,-118.4174779,112,82,Inyo
60290011,35.0505513494936,-118.147293620967,79,91,Kern
60290014,35.356615,-119.062613,81,73,Kern
60290019,35.0465280008873,-118.162833,77,90,Kern
60290019,35.046528,-118.162833,76,90,Kern
60311004,36.31567,-119.643447,88,68,Kings
60333002,39.0189300009231,-122.91333,144,1,Lake
60333002,39.01893,-122.91333,143,1,Lake
60370002,34.1365,-117.92391,50,96,Los Angeles
60370016,34.14435,-117.85036,51,97,Los Angeles
60371103,34.0665900008759,-118.22688,43,85,Los Angeles
60371103,34.06659,-118.22688,42,85,Los Angeles
60371201,34.19925,-118.53276,54,79,Los Angeles
60371302,33.9013890008739,-118.205,33,86,Los Angeles
60371302,33.901389,-118.205,32,86,Los Angeles
60371602,34.0102900008752,-118.0685,41,94,Los Angeles
60371602,34.01029,-118.0685,40,94,Los Angeles
60372005,34.1326,-118.1272,49,93,Los Angeles
60374010,34.1819770008773,-118.363036,53,83,Los Angeles
60374010,34.181977,-118.363036,52,83,Los Angeles
60376012,34.38344,-118.5284,59,80,Los Angeles
60379033,34.6697390008831,-118.130511,71,92,Los Angeles
60379033,34.669739,-118.130511,70,92,Los Angeles
